Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.8161816891412349,0.6949152542372882,0.5481283422459893,0.6128550074738416,0.8732826991139011
XGBoost,0.830376153300213,0.6979472140762464,0.6363636363636364,0.6657342657342658,0.8862189671652587
Gradient Boosting,0.8332150461320085,0.7112462006079028,0.6256684491978609,0.6657183499288762,0.8865121806298276
